ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached,source_run
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,6,linear,12254.89,68.8,71.42,24000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.14,0.95,7,linear,10799.45,62.7,63.78,20000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,3,linear,10803.53,62.7,64.75,46000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,4,linear,10153.53,55.1,55.37,34000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,5,linear,10224.93,58.2,57.34,30000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,6,linear,9889.2,61.6,60.33,26000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,4,linear,9697.32,59.6,60.38,12000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,128,256,0.0003,0.005,0.16,0.95,7,linear,10182.42,61.4,61.54,20000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,5,linear,9809.89,58.9,59.92,12000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,6,linear,10014.72,58.1,59.48,10000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.08,0.95,7,linear,9488.69,58.9,58.29,12000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,3,linear,10479.13,60.6,58.15,2000,0.648,False,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,4,linear,10741.91,57.5,61.07,12000,0.93,True,BasicPPOEpsilon.2.AK
AMD Ryzen 5 5600GT with Radeon Graphics,3.59,12,15,0,NO DEDICATED GPU,0.0,Windows,16,256,0.0003,0.005,0.12,0.95,5,linear,10898.54,66.0,63.26,10000,0.93,True,BasicPPOEpsilon.2.AK
