ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPPO.02.CB.23,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.14,0.95,5,linear,17907.34,54.4,54.56,10000,0.93,True
BasicPPO.02.CB.24,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.14,0.95,6,linear,17223.08,51.9,52.2,10000,0.93,True
BasicPPO.02.CB.25,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.14,0.95,7,linear,16583.22,51.5,51.59,10000,0.93,True
BasicPPO.02.CB.26,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.16,0.95,3,linear,17058.32,53.1,52.03,12000,0.93,True
BasicPPO.02.CB.27,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.16,0.95,4,linear,16997.26,47.9,49.43,10000,0.93,True
BasicPPO.02.CB.28,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.16,0.95,5,linear,15314.05,47.8,47.4,10000,0.93,True
BasicPPO.02.CB.29,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.16,0.95,6,linear,15642.38,48.5,48.01,10000,0.93,True
BasicPPO.02.CB.3,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.04,0.95,5,linear,15751.97,48.1,48.39,18000,0.93,True
BasicPPO.02.CB.30,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,16,256,0.0003,0.005,0.16,0.95,7,linear,15566.31,48.5,48.39,10000,0.93,True
BasicPPO.02.CB.31,AMD Ryzen 9 7945HX with Radeon Graphics,2.5,32,31,1,NVIDIA GeForce RTX 4060 Laptop GPU,8.0,Windows,32,256,0.0003,0.005,0.04,0.95,3,linear,15488.52,48.3,48.41,24000,0.93,True
