run_id,environment,seed,num_agents,algorithm,steps,batch_size,buffer_size,learning_rate,epochs,total_time,average_cpu,average_ram,reward_mean,reward_mean_step,early_reward_mean,early_reward_mean_step,final_reward_mean,final_reward_mean_step,best_reward,best_reward_step,step_interval,p_loss_mean,p_loss_mean_step,v_loss_mean,v_loss_mean_step,entropy_mean,entropy_mean_step,threshold_value,steps_to_threshold,time_to_threshold,threshold_version,run_reached_threshold,notes
R_AK_3DBall_2765,3DBall,2765,12.0000,ppo,500000,148,27817,0.0002759915286491345,3,231,44.1,83.9,1.2633,12000,1.1196,12000,100.0000,442000,100.0000,288000,480000,0.0662,36000,0.2536,36000,1.4159,12000,2.5657600000000005,96000,40.4,2025-11-21_09-33,,
R_AK_3DBall_2766,3DBall,2766,12.0000,ppo,500000,112,21026,0.0006363179078942751,3,267,48.0,84.4,1.7262,12000,1.2322,12000,99.1050,442000,100.0000,192000,480000,0.0758,24000,0.3710,24000,1.3998,12000,2.5657600000000005,60000,26.7,2025-11-21_09-33,,
R_AK_3DBall_2767,3DBall,2767,12.0000,ppo,500000,150,28266,0.00013640703575101525,3,267,47.8,84.6,1.2813,12000,1.1803,12000,100.0000,442000,100.0000,264000,480000,0.0667,36000,0.1746,36000,1.4200,12000,2.5657600000000005,96000,46.7,2025-11-21_09-33,,
R_AK_3DBall_2768,3DBall,2768,12.0000,ppo,500000,87,16334,0.0004741269617434864,3,277,49.4,84.7,2.2460,12000,1.2236,12000,100.0000,442000,100.0000,156000,480000,0.0872,24000,0.7011,24000,1.3919,12000,2.5657600000000005,60000,27.7,2025-11-21_09-33,,
R_AK_3DBall_2769,3DBall,2769,12.0000,ppo,500000,179,33742,0.0008833447612883772,3,230,44.7,84.7,1.2173,12000,1.1344,12000,100.0000,442000,100.0000,264000,480000,0.0617,36000,0.1801,36000,1.4147,12000,2.5657600000000005,108000,46.0,2025-11-21_09-33,,
R_AK_3DBall_2770,3DBall,2770,12.0000,ppo,500000,116,21878,0.000746085618532696,3,240,47.6,84.6,1.4470,12000,1.1703,12000,100.0000,442000,100.0000,180000,480000,0.0759,24000,0.2664,24000,1.4106,12000,2.5657600000000005,72000,30.0,2025-11-21_09-33,,
R_AK_3DBall_2771,3DBall,2771,12.0000,ppo,500000,117,22007,0.0007238593527396884,3,239,45.5,84.5,1.5187,12000,1.1779,12000,94.7996,442000,100.0000,216000,480000,0.0746,24000,0.2831,24000,1.4050,12000,2.5657600000000005,72000,29.9,2025-11-21_09-33,,
R_AK_3DBall_2772,3DBall,2772,12.0000,ppo,500000,83,15608,0.0006617326564642152,3,248,48.1,84.3,1.9063,12000,1.1866,12000,99.4877,442000,100.0000,132000,480000,0.0868,24000,0.4025,24000,1.4017,12000,2.5657600000000005,60000,24.8,2025-11-21_09-33,,
R_AK_3DBall_2773,3DBall,2773,12.0000,ppo,500000,117,22063,0.0001128023341228887,3,216,34.8,84.1,1.2372,12000,1.1873,12000,100.0000,442000,100.0000,300000,480000,0.0756,24000,0.3399,24000,1.4113,12000,2.5657600000000005,120000,48.6,2025-11-21_09-33,,
R_AK_3DBall_2774,3DBall,2774,12.0000,ppo,500000,176,33040,0.00018904623944446437,3,261,47.9,84.7,1.2374,12000,1.1140,12000,100.0000,442000,100.0000,276000,480000,0.0602,36000,0.1774,36000,1.4157,12000,2.5657600000000005,108000,52.2,2025-11-21_09-33,,
R_AK_3DBall_2775,3DBall,2775,12.0000,ppo,500000,159,29982,0.0004928975926290241,3,261,47.0,84.7,1.2775,12000,1.1236,12000,96.2211,442000,100.0000,396000,480000,0.0646,36000,0.1769,36000,1.4105,12000,2.5657600000000005,96000,45.7,2025-11-21_09-33,,
R_AK_3DBall_2776,3DBall,2776,12.0000,ppo,500000,172,32307,0.00045799682505621314,3,231,42.3,84.5,1.2019,12000,1.1316,12000,99.5067,442000,100.0000,276000,480000,0.0605,36000,0.1835,36000,1.4176,12000,2.5657600000000005,108000,46.2,2025-11-21_09-33,,
R_AK_3DBall_2777,3DBall,2777,12.0000,ppo,500000,88,16505,0.0005146312977404923,3,242,45.2,84.2,1.7430,12000,1.1870,12000,100.0000,442000,100.0000,156000,480000,0.0830,24000,0.4263,24000,1.4106,12000,2.5657600000000005,60000,24.2,2025-11-21_09-33,,
R_AK_3DBall_2778,3DBall,2778,12.0000,ppo,500000,188,35397,0.00023255158005017538,3,233,43.1,84.8,1.2042,12000,1.0950,12000,99.3283,442000,100.0000,300000,480000,0.0564,36000,0.1983,36000,1.4168,12000,2.5657600000000005,120000,52.4,2025-11-21_09-33,,
R_AK_3DBall_2779,3DBall,2779,12.0000,ppo,500000,77,14492,0.00043756142358607837,3,261,48.5,84.2,2.3158,12000,1.2062,12000,100.0000,442000,100.0000,204000,480000,0.0918,24000,0.5732,24000,1.3941,12000,2.5657600000000005,48000,19.6,2025-11-21_09-33,,
R_AK_3DBall_2780,3DBall,2780,12.0000,ppo,500000,179,33735,0.0006300061530744548,3,264,48.6,84.3,1.2545,12000,1.1242,12000,100.0000,442000,100.0000,228000,480000,0.0572,36000,0.1701,36000,1.4103,12000,2.5657600000000005,84000,39.6,2025-11-21_09-33,,
R_AK_3DBall_2781,3DBall,2781,12.0000,ppo,500000,38,7253,0.0004765439619141327,3,321,53.3,84.6,22.6709,12000,1.7746,12000,97.0154,442000,100.0000,288000,480000,0.1270,12000,0.9894,12000,1.3407,12000,2.5657600000000005,36000,16.0,2025-11-21_09-33,,
R_AK_3DBall_2782,3DBall,2782,12.0000,ppo,500000,154,28906,0.0008973338001436738,3,213,34.9,84.8,1.2182,12000,1.1206,12000,100.0000,442000,100.0000,228000,480000,0.0658,36000,0.2167,36000,1.4111,12000,2.5657600000000005,96000,37.2,2025-11-21_09-33,,
R_AK_3DBall_2783,3DBall,2783,12.0000,ppo,500000,190,35759,0.00023944550944551043,3,226,42.3,84.6,1.1775,12000,1.1023,12000,98.8339,442000,100.0000,336000,480000,0.0612,36000,0.1800,36000,1.4171,12000,2.5657600000000005,120000,50.8,2025-11-21_09-33,,
R_AK_3DBall_2784,3DBall,2784,12.0000,ppo,500000,56,10642,0.00022701934851310153,3,266,51.3,84.5,3.4914,12000,1.2631,12000,100.0000,442000,100.0000,120000,480000,0.1083,12000,0.8201,12000,1.3940,12000,2.5657600000000005,48000,20.0,2025-11-21_09-33,,
R_AK_3DBall_2785,3DBall,2785,12.0000,ppo,500000,119,22491,0.0006836767848531212,3,240,44.5,84.7,1.4539,12000,1.1042,12000,100.0000,442000,100.0000,228000,480000,0.0746,24000,0.2732,24000,1.3992,12000,2.5657600000000005,72000,30.0,2025-11-21_09-33,,
R_AK_3DBall_2786,3DBall,2786,12.0000,ppo,500000,48,9042,0.000723562415454011,3,228,36.3,84.2,6.2057,12000,1.2383,12000,100.0000,442000,100.0000,96000,480000,0.1160,12000,0.9317,12000,1.3733,12000,2.5657600000000005,48000,17.1,2025-11-21_09-33,,
R_AK_3DBall_2787,3DBall,2787,12.0000,ppo,500000,34,6469,0.00013729537054202058,3,279,50.9,84.4,20.1050,12000,1.5833,12000,100.0000,442000,100.0000,84000,480000,0.1406,12000,1.1514,12000,1.4031,12000,2.5657600000000005,36000,14.0,2025-11-21_09-33,,
R_AK_3DBall_2788,3DBall,2788,12.0000,ppo,500000,140,26378,0.0004160794466534483,3,231,42.4,83.1,1.3019,12000,1.0994,12000,100.0000,442000,100.0000,252000,480000,0.0683,36000,0.2430,36000,1.4128,12000,2.5657600000000005,96000,40.3,2025-11-21_09-33,,
R_AK_3DBall_2789,3DBall,2789,12.0000,ppo,500000,104,19596,0.00041597814527477876,3,231,40.0,82.8,1.4831,12000,1.1609,12000,98.4923,442000,100.0000,180000,480000,0.0769,24000,0.2327,24000,1.4121,12000,2.5657600000000005,72000,28.8,2025-11-21_09-33,,
R_AK_3DBall_2790,3DBall,2790,12.0000,ppo,500000,94,17809,0.0006630573874784675,3,259,45.5,83.3,1.9362,12000,1.1757,12000,100.0000,442000,100.0000,156000,480000,0.0816,24000,0.6991,24000,1.3825,12000,2.5657600000000005,60000,25.9,2025-11-21_09-33,,
R_AK_3DBall_2791,3DBall,2791,12.0000,ppo,500000,137,25764,0.0007103839600568448,3,212,28.4,83.5,1.2235,12000,1.1298,12000,100.0000,442000,100.0000,240000,480000,0.0685,36000,0.2284,36000,1.4176,12000,2.5657600000000005,108000,42.4,2025-11-21_09-33,,
R_AK_3DBall_2792,3DBall,2792,12.0000,ppo,500000,99,18717,0.00029652434944377545,3,233,42.1,83.4,1.6784,12000,1.1821,12000,100.0000,442000,100.0000,192000,480000,0.0835,24000,0.2520,24000,1.4064,12000,2.5657600000000005,72000,29.1,2025-11-21_09-33,,
R_AK_3DBall_2793,3DBall,2793,12.0000,ppo,500000,180,33905,8.878256017544675e-05,3,227,41.7,83.8,1.2749,12000,1.1550,12000,100.0000,442000,100.0000,324000,480000,0.0591,36000,0.2393,36000,1.4198,12000,2.5657600000000005,120000,51.0,2025-11-21_09-33,,
R_AK_3DBall_2794,3DBall,2794,12.0000,ppo,500000,189,35515,0.000878533100257647,3,210,31.9,83.3,1.2051,12000,1.1471,12000,100.0000,442000,100.0000,276000,480000,0.0596,36000,0.1935,36000,1.4128,12000,2.5657600000000005,120000,47.2,2025-11-21_09-33,,
R_AK_3DBall_2795,3DBall,2795,12.0000,ppo,500000,47,8986,0.0007616192778523745,3,286,50.6,83.7,5.0597,12000,1.5061,12000,98.3616,442000,100.0000,96000,480000,0.1205,12000,1.0431,12000,1.3453,12000,2.5657600000000005,36000,14.3,2025-11-21_09-33,,
R_AK_3DBall_2796,3DBall,2796,12.0000,ppo,500000,161,30240,0.0003494971357114127,3,212,28.1,83.8,1.2910,12000,1.1815,12000,100.0000,442000,100.0000,264000,480000,0.0644,36000,0.2819,36000,1.4173,12000,2.5657600000000005,108000,42.3,2025-11-21_09-33,,
R_AK_3DBall_2797,3DBall,2797,12.0000,ppo,500000,41,7764,0.0007263057929552503,3,247,44.9,83.8,13.1995,12000,1.3880,12000,98.4954,442000,100.0000,84000,480000,0.1251,12000,1.1320,12000,1.3667,12000,2.5657600000000005,36000,12.4,2025-11-21_09-33,,
R_AK_3DBall_2798,3DBall,2798,12.0000,ppo,500000,110,20755,0.0002736747121960258,3,229,42.8,83.7,1.3836,12000,1.1242,12000,100.0000,442000,100.0000,192000,480000,0.0762,24000,0.2542,24000,1.4137,12000,2.5657600000000005,84000,34.3,2025-11-21_09-33,,
R_AK_3DBall_2799,3DBall,2799,12.0000,ppo,500000,117,22010,0.0005438562454198609,3,216,34.2,83.9,1.2845,12000,1.1375,12000,100.0000,442000,100.0000,216000,480000,0.0762,24000,0.2741,24000,1.4191,12000,2.5657600000000005,96000,37.8,2025-11-21_09-33,,
R_AK_3DBall_2800,3DBall,2800,12.0000,ppo,500000,172,32254,0.0004627419717144289,3,226,40.2,84.2,1.2414,12000,1.1243,12000,98.8539,442000,100.0000,264000,480000,0.0611,36000,0.1599,36000,1.4148,12000,2.5657600000000005,108000,45.2,2025-11-21_09-33,,
R_AK_3DBall_2801,3DBall,2801,12.0000,ppo,500000,60,11372,0.0005240359852850988,3,243,42.7,83.7,3.2649,12000,1.2832,12000,100.0000,442000,100.0000,132000,480000,0.1041,12000,0.7615,12000,1.3928,12000,2.5657600000000005,48000,18.2,2025-11-21_09-33,,
R_AK_3DBall_2802,3DBall,2802,12.0000,ppo,500000,70,13244,0.0002924977398246366,3,220,28.2,83.1,1.3629,12000,1.1391,12000,100.0000,442000,100.0000,192000,480000,0.0969,24000,0.2668,24000,1.4090,12000,2.5657600000000005,84000,33.0,2025-11-21_09-33,,
R_AK_3DBall_2803,3DBall,2803,12.0000,ppo,500000,174,32694,0.000517140423384341,3,218,36.6,83.4,1.1362,12000,1.0632,12000,100.0000,442000,100.0000,312000,480000,0.0630,36000,0.1607,36000,1.4156,12000,2.5657600000000005,120000,49.1,2025-11-21_09-33,,
