ID,cpu_type,cpu_freqcpu_cores,ram_gb,has_nvidia,nvidia_gpu_name,nvidia_vram_gb,os,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,learning_rate_schedule,ram_mb_used,ram_usage_percent,ram_avg_percent,benchmark_steps,benchmark_mean,benchmark_reached
BasicPP0Epsilon.3.SS.33,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.04,0.95,5,linear,6246.22,78.7,78.82,18000,0.93,True
BasicPP0Epsilon.3.SS.34,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.04,0.95,6,linear,6582.48,77.4,78.69,16000,0.93,True
BasicPP0Epsilon.3.SS.35,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.04,0.95,7,linear,6418.08,78.3,78.46,16000,0.93,True
BasicPP0Epsilon.3.SS.36,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.06,0.95,3,linear,6577.45,77.9,77.25,20000,0.93,True
BasicPP0Epsilon.3.SS.37,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.06,0.95,4,linear,6482.05,78.9,78.25,14000,0.93,True
BasicPP0Epsilon.3.SS.38,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.06,0.95,5,linear,6409.45,77.6,77.62,16000,0.93,True
BasicPP0Epsilon.3.SS.39,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.06,0.95,6,linear,6516.84,78.4,78.13,16000,0.93,True
BasicPP0Epsilon.3.SS.4,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,6,linear,6339.5,77.2,78.5,16000,0.93,True
BasicPP0Epsilon.3.SS.40,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.06,0.95,7,linear,6979.27,79.3,78.56,14000,0.93,True
BasicPP0Epsilon.3.SS.41,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.08,0.95,3,linear,6535.0,78.9,77.92,18000,0.93,True
BasicPP0Epsilon.3.SS.42,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.08,0.95,4,linear,6472.17,78.5,78.35,14000,0.93,True
BasicPP0Epsilon.3.SS.43,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.08,0.95,5,linear,6441.16,78.1,78.38,16000,0.93,True
BasicPP0Epsilon.3.SS.44,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.08,0.95,6,linear,6392.02,77.8,78.57,14000,0.93,True
BasicPP0Epsilon.3.SS.45,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.08,0.95,7,linear,6496.7,81.7,78.35,12000,0.93,True
BasicPP0Epsilon.3.SS.46,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.12,0.95,3,linear,6078.84,80.9,80.08,18000,0.93,True
BasicPP0Epsilon.3.SS.47,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.12,0.95,4,linear,5991.2,82.0,81.24,16000,0.93,True
BasicPP0Epsilon.3.SS.48,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.12,0.95,5,linear,6920.41,80.0,79.56,14000,0.93,True
BasicPP0Epsilon.3.SS.49,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.12,0.95,6,linear,6254.98,79.9,79.39,14000,0.93,True
BasicPP0Epsilon.3.SS.5,Apple M4,unknown,10,16.0,False,,,Darwin,16,256,0.0003,0.005,0.04,0.95,7,linear,6323.03,76.4,80.1,18000,0.93,True
BasicPP0Epsilon.3.SS.50,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.12,0.95,7,linear,6987.27,70.9,79.42,12000,0.93,True
BasicPP0Epsilon.3.SS.51,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.14,0.95,3,linear,7297.06,73.7,72.55,18000,0.93,True
BasicPP0Epsilon.3.SS.52,Apple M4,unknown,10,16.0,False,,,Darwin,32,256,0.0003,0.005,0.14,0.95,4,linear,6830.95,81.3,75.17,14000,0.93,True
